DateTime,AddedIPs,RemovedIPs
1594596011,17,5
1594597979,15,8
1594599865,23,6
1594601774,10,7
1594603689,5,21
1594606574,20,12
1594608773,19,10
1594610697,24,6
1594612603,16,14
1594614493,19,9
1594616576,25,4
1594618572,15,9
1594620515,14,11
1594622410,27,11
1594624595,39,15
1594626550,71,15
1594628414,70,13
1594630351,77,22
1594632286,78,10
1594634169,50,9
1594636088,56,9
1594638141,97,4
1594640199,89,11
1594642093,12,8
1594644011,9,5
1594646187,10,16
1594648120,4,7
1594650017,15,5
1594651932,9,11
1594653862,15,4
1594655776,10,6
1594657735,7,4
1594660583,22,16
1594662494,9,10
1594664439,13,11
1594666336,12,7
1594668257,13,15
1594670210,14,6
1594672087,12,12
1594675003,18,17
1594676905,8,11
1594678821,14,8
1594680767,10,9
1594682683,9,17
1594684578,8,18
1594686518,14,19
1594688588,14,7
1594690575,8,9
1594692778,10,13
1594694655,4,20
1594696734,12,21
1594698766,17,17
1594700675,9,18
1594702601,18,25
1594704515,10,13
1594706627,18,12
1594708501,16,28
1594710526,14,39
1594712591,9,44
1594714601,18,94
1594716530,6,76
1594718420,24,69
1594720339,18,62
1594722592,27,61
1594725531,18,143
1594727591,7,51
1594729495,8,9
1594731487,11,6
1594733294,9,10
1594736193,12,13
1594738153,11,12
1594740015,17,17
1594741934,9,10
1594743883,6,7
1594745776,13,9
1594747693,11,20
1594749796,8,10
1594751805,18,11
1594753699,12,12
1594755613,13,13
1594757561,15,14
1594759534,9,15
1594761414,13,12
1594763303,9,8
1594765212,7,14
1594767205,14,10
1594769136,113,8
1594771214,222,9
1594773147,121,14
1594775096,10,10
1594777008,5,10
1594778941,9,9
1594780818,11,2
1594782762,6,11
1594784682,10,17
1594786632,9,7
1594788532,15,17
1594790415,14,12
1594792360,15,17
1594794533,48,13
1594796636,8,15
1594798581,6,11
1594800391,10,8
1594802208,7,10
1594804102,10,17
1594806018,7,14
1594807994,11,37
1594809859,5,8
1594811776,12,8
1594813733,11,10
1594815643,7,9
1594817533,12,9
1594819554,22,12
1594821373,9,9
1594823290,11,5
1594825347,8,17
1594827197,21,13
1594829156,10,9
1594831021,11,8
1594832901,12,7
1594834845,14,11
1594836769,11,12
1594838656,13,14
1594840589,10,14
1594842532,13,19
1594844431,9,8
1594846344,9,12
1594848310,7,9
1594850211,10,6
1594852336,5,16
1594854294,13,5
1594856208,11,185
1594858162,12,225
1594860058,8,40
1594861962,4,10
1594863862,20,11
1594865783,9,11
1594867699,12,12
1594869665,7,12
1594871540,13,6
1594873461,13,11
1594875468,7,13
1594877295,16,9
1594879483,32,30
1594881373,6,42
1594883390,7,10
1594885220,14,6
1594887167,15,9
1594889057,24,12
1594890975,14,15
1594892920,7,5
1594894836,12,8
1594896738,12,5
1594898710,18,11
1594900580,18,12
1594902519,4,6
1594904634,7,16
1594906858,14,23
1594908689,15,7
1594910828,13,12
1594912999,6,11
1594915002,4,16
1594916899,11,13
1594918914,8,8
1594920761,9,13
1594922671,8,14
1594924576,10,12
1594926600,13,9
1594928541,11,14
1594930676,12,8
1594932570,11,13
1594934691,9,9
1594936590,6,11
1594938490,11,3
1594940524,13,13
1594942368,12,7
1594945233,23,16
1594947132,10,6
1594949078,12,15
1594950998,9,13
1594952894,19,14
1594954950,15,4
1594956760,8,15
1594958926,11,7
1594960815,12,11
1594962735,19,14
1594964686,15,18
1594966589,12,30
1594968494,31,7
1594970447,15,5
1594972334,15,16
1594974263,8,22
1594976204,22,18
1594978094,9,6
1594981264,28,9
1594983139,16,10
1594985086,9,20
1594986974,11,23
1594988890,14,12
1594990946,14,8
1594993019,17,11
1594994907,17,19
1594996813,24,8
1594998849,11,8
1595000656,13,6
1595002577,11,4
1595004522,14,11
1595006418,15,11
1595008335,20,7
1595010290,10,12
1595012169,16,2
1595014138,14,13
1595017012,9,20
1595018892,5,7
1595022038,9,16
1595023958,5,6
1595025855,14,9
1595027803,9,16
1595029719,12,14
1595031645,3,17
1595033530,8,12
1595035487,13,11
1595037385,4,11
1595039660,9,21
1595041497,7,13
1595043372,3,11
1595045331,7,9
1595047212,6,8
1595049165,4,22
1595051054,8,11
1595052973,7,11
1595054922,4,37
1595056815,4,12
1595058732,7,15
1595060689,4,9
1595062604,7,21
1595064506,5,9
1595066522,9,12
1595068339,7,21
1595070270,6,13
1595072200,10,14
1595074101,8,12
1595076018,7,13
1595077966,10,18
1595079859,44,12
1595081773,8,16
1595083724,5,21
1595085618,6,10
1595087535,8,18
1595089492,6,13
1595091383,8,13
1595093304,10,19
1595095400,5,15
1595097654,7,16
1595099541,4,16
1595101455,9,9
1595103402,6,10
1595105297,8,4
1595107272,7,8
1595109161,15,3
1595111059,12,6
1595112973,5,12
1595114920,4,7
1595117807,9,18
1595119697,10,6
1595121620,7,10
1595123573,5,7
1595125472,5,8
1595127445,6,8
1595129297,4,4
1595131262,7,4
1595133165,7,4
1595135056,1,7
1595137032,7,6
1595138894,2,8
1595140815,4,4
1595142762,3,5
1595144660,10,2
1595146570,6,8
1595148525,13,6
1595150411,7,5
1595152341,5,9
1595154286,7,3
1595156173,3,9
1595158088,5,8
1595161235,6,16
1595163143,5,6
1595165083,7,26
1595167036,9,24
1595169800,9,8
1595171917,1,9
1595173960,3,9
1595175864,6,4
1595177799,25,10
1595179692,6,8
1595181767,14,5
1595183803,12,10
1595185974,9,2
1595187865,8,9
1595189781,7,6
1595191728,9,8
1595193618,7,8
1595195580,8,19
1595197496,11,9
1595199374,8,3
1595201537,20,8
1595203730,8,6
1595205623,9,6
1595207565,8,7
1595209455,9,8
1595211411,14,5
1595213368,12,7
1595215215,5,2
1595217135,8,11
1595219098,9,3
1595220978,12,5
1595222897,5,7
1595224988,27,5
1595226825,9,3
1595228687,20,1
1595230573,5,8
1595232499,7,9
1595234449,9,11
1595236345,14,8
1595238285,9,6
1595240179,10,6
